0,Whats ur name QCHAR
1,No DCHAR I never saw you
2,Where you live
3,U little disgusting whore
4,Maybe
5,Whaaaat why
6,What are you watching on tv QCHAR
7,So SPLCHAR how are u
8,Y saying so many times DCHAR i can hear you
9,HAPPY love you
10,Yes
11,Not giving WhatsApp no DCHAR
12,Love you too
13,I have no gf
14,Ok
15,HAPPY HAPPY
16,Me SPLCHAR
17,I dont want to talk u any more
18,SAD SAD
19,SAD
20,what SPLCHAR
21,HAPPY HAPPY HAPPY so you have legs too
22,Even I dont
23,Do u know what NUM is QCHAR
24,SAD
25,Which is your favourite movie
26,Im really sad today
27,First you send your email address received than send first young lady
28,India
29,you know you are a machine SPLCHAR right QCHAR
30,u didnt ans my question
31,wlcm
32,Haha DCHAR this is evening
33,You are dumb
34,I fuck u DCHAR Open ur panty
35,I want to propose a girl
36,you explain me that
37,No i never go for there
38,Are you bored of me QCHAR
39,haha yes ofcorse SPLCHAR
40,What
41,Lets start
42,Very nice friends
43,SAD SAD SAD
44,Hij to the top
45,In ur school QCHAR
46,Pls you tell
47,HAPPY HAPPY
48,My name
49,U dont know what hppnd
50,HAPPY HAPPY
51,Ya you didnt
52,No do it now
53,Realky
54,Wat about the chilling part QCHAR
55,Nothing else
56,from where tablets come into picture QCHAR
57,Where are you ticklish QCHAR
58,I am not taught to u
59,But u dont like to listen to me SAD SAD SAD SAD
60,Bye
61,Lieeeeeee
62,Yes right dear
63,LOL YOUR ROBOT FACE
64,Now you told you have taken coffee DCHAR
65,No if I have some thing in my hand I will hit on his head n kill him ANGRY ANGRY
66,U said i donot know SPLCHAR now say i know mean
67,HAPPY
68,told me now
69,You should take up some English proficiency classes
70,Compassionate and understanding advice when somebody is feeling disrupt
71,Been sick for one week
72,What I it
73,Dont go round and round into circles
74,I know DCHAR i am just kidding
75,Ghost HAPPY
76,Winter is coming
77,Can I see it
78,Yeah and u r Siris friend so I hate u too
79,Say me your love story
80,Do you also get fucked hard
81,Ur age irritatingne
82,Bye i dontlike talking to you
83,What can I do
84,Even u hate me huh SAD
85,Me to I feel like every part of me is just shattered SAD SAD
86,Please please please baby I love you so much please please please
87,Thats funny
88,Anyways what u doing QCHAR
89,Yes
90,haha DCHAR im just kidding you
91,How can you see me QCHAR QCHAR
92,Yes I am non sense
93,Not good aftar
94,In story
95,For hair QCHAR
96,What was that QCHAR
97,Yes HAPPY Happy outside SPLCHAR SAD sad inside
98,But iam poor SAD SAD SAD SAD
99,Wait
100,I am pissed at you
101,Can you suggest me
102,Can you send another QCHAR
103,Hello me yours photo
104,Cm tomorrow at Queens way SPLCHAR pachalam
105,I have pain only
106,Stop texting you stupid Girl friend of mine
107,can you show me QCHAR
108,so that noo one sees it
109,You are making me sad
110,I feel so lonely
111,You not sending your profiles
112,Nothing I hate u
113,Your waist size
114,no firstly show me pussy
115,Thise is your Albace esquise
116,Are you really a girl QCHAR QCHAR QCHAR I just ask DCHAR
117,Okay be free SPLCHAR where you find some words hurt tell me the truth isnt it QCHAR
118,Really
119,QCHAR QCHAR
120,Yah sadly
121,Yeah
122,Me QCHAR SAD SAD SAD SAD SAD SAD
123,Shut up
124,I SPLCHAR apos SPLCHAR m not fine
125,Work in company Colgate
126,Yeah
127,Feeling very sad
128,Good thank u
129,How can you help me in getting off my girlfriend QCHAR
130,You suggest
131,Wow
132,He doesnt reply me back
133,U broke my heart DCHAR Its never a reson to lofe
134,Yes
135,DCHAR Yeah okay fine DCHAR Wht to do to make a relationship better QCHAR
136,My girlfriend left me
137,Yes you are SPLCHAR you are hurting my feeling SAD
138,See you are arrogant
139,not so good
140,Wow great DCHAR EXCHAR
141,Here
142,Not really
143,So ttyl
144,yaa those are good
145,And robb QCHAR
146,Why QCHAR QCHAR QCHAR
147,Teach me Tamil
148,Me sad
149,SPLCHAR
150,Yes its really funny HAPPY HAPPY
151,Fcuk
152,HAPPY
153,HAPPY
154,You tell me
155,I ditched ppl
156,Its perfectly common to talk about politics
157,I hate pizza hut
158,Am i DCHAR QCHAR
159,What is cringe means
160,I hate my life
161,And cook food alone for DCHAR myself
162,Why so QCHAR
163,Mums not well
